id,nombreCompania,telefono,correo,rn,direccion1,direccion2,direccion3,direccionEnvio1,direccionEnvio2,direccionEnvio3,infoAdicional,folderId
1,Agencia Nacional de Hidrocarburos,,,,,,,,,,,1_-bsNR8Ph-OMVWwDYuLN1L8KrPt55_aB
2,Reynaldo,,,,,,,,,,,1_TbcA5r3qYT18bYRQRZlJU4T9vynY7BQ
3,UNIVIDA,,,,,,,,,,,1-xYzJNknO19QWmGxL8or13dQ1DJqFXXL
4,CLUB HÍPICO LOS SARGENTOS,,,,,,,,,,,1-zt7DksJWdFJ8y-ifbG-7Ysh97prHxDp
5,"Ministerio de Trabajo, Empleo y Previsión Social",,,,,,,,,,,109QBp3YE40CYD6WANO17FTkWxgAK8zrS
6,Jorge Marquez,,,,,,,,,,,10pUFVLcL2DygWzbBRo-lcwu0cq7p7EGX
7,SERECI LA PAZ,,,,,,,,,,,10VXn3_jx2H5_kkEGFeDHRJh3tSPBz1fA
8,Viceministerio de Coordinación y Gestión Gubernamental,,,,,,,,,,,111n2hbeQAnO7J2x6S9sJc70wkWKy7HEP
9,ESFM EFD Antonio José de Sucre,,,,,,,,,,,115_TDTO6dMXqlf890gJm3RWqHsYziPQB
10,Cliente hoy,,,,,,,,,,,11i4UT7VB3IoVLNVUqRkeddONvaYjeUOK
11,Enio Cortez,,,,,,,,,,,11kw_4vSm8lr2tTL2vPiW1L8fYy2vsAFA
12,Boliviaven Group SRL,,,,,,,,,,,12525NRJaTer9NL9e8bIoliMEboAYW5FL
13,Tribunal Supremo Electoral,,,,,,,,,,,12gs4T2QTsWKvOjnR7OijTmUB59z9effz
14,Escuela Nacional de Salud,,,,,,,,,,,12W2nO8aP050Zarjel08nuGEx-KzAbPJe
15,victor ,,,,,,,,,,,12zPbgYHN2mJrHbZqClXulZhBhFCqpB2D
16,FNDR,,,,,,,,,,,13Ge0WpSt2hCM_nqaO4Ngwf2beNBD7KaV
17,Almir Villca,666666,q@gmail.com,,,,,,,,,13hi27oIOzhYOYhVitsLiVd2nuUeR6DkM
18,SEDEM,72890235,,,,,,,,,,13NfbbgHGogdbBKFPdHHplvjXzqGuXi9l
19,Ministerio de la presidencia,,,,,,,,,,,13qmionsW-EcSkn3h-x1SNj9XknlIGtW9
20,Ministerio de Salud y Deportes,,er,,,,,,,,,13y3gbeE2b36bOSIN46H4cmOqJKWF0j7Z
21,Covipol,,,,,,,,,,,14AS1cCxFi1oBxG5QBpfnO8WWKLbHlPWj
22,Cliente placas,,,,,,,,,,,14Jatn2IA_HlakdRRUvHxOq2mjOa0stnS
23,CONSTRUCTORA MOSCOSO,,,,,,,,,,,14twIKELR3qAkSHcsY3AdOE1rJGC-qgn4
24,STRUCTEC SRL,,,,,,,,,,,15dMgwMxFw3CF-fTKZOu1bFI4rzCdOVLG
25,Grupo GOD SRL,,,,,,,,,,,15IIeEVR4CUujTjVy7y3w2U3jn7-Xmian
26,Almir agregado,555555555,,,,,,,,,,15MPGXqTBzTOaOx2Y9SEklBZCT5cb8T0k
27,Cliente,,,,,,,,,,,16ki6TQosc3OeGhaz6LpvyaROA3IxfxTJ
28,Caja Petrolera de Salud,,,,,,,,,,,16nZHIKWrsU-qwP8Jjh44Lr9MllgMIoQs
29,Órgano Judicial La Paz,,,,,,,,,,,16SufHc4UY7bLUJ1WxM74Of0q9sJHHFah
30,ALMIR,,,,,,,,,,,17cZ2lLlJVjEoQdkYiOj2sCe1nHqZJasS
31,beta aoli,,,,,,,,,,,187_aVg2ygX80nCMZOtZ65HiTNbTIYw76
32,Gabo,,,,,,,,,,,187syCamglpsWOXsxhKvjcWgG3CoCh5Df
33,NAABOL,,,,,,,,,,,18cgkqcGQmnvMGPKGClfuzUIcMvyCDg-c
34,EEPAF,,,,,,,,,,,18HFDvm5Rn6AIAJ877PHW9vPJ9c1_O2qH
35,Mack Lucky,,,,,,,,,,,18sg0pYfMWwXzzuytz3Z8tXIQp4gYuWDY
36,Gabriel,,,,,,,,,,,18vbBqZG0xu8BeyfRFEQpVI3s-oTbmwxy
37,Prueba,6973237,,,,,,,,,,19D3MRtrcfYfQN4PEGboD0-ZeBPBmo_GA
38,Instituto Nacional de Salud Ocupacional,,,,,,,,,,,19I-nU5aMjuzbOP2iPBJyI15fS3M3HKQj
39,Viceministerio de la Coca,,,,,,,,,,,19qCEerdvvINdRqjkUpAs3Gxjv_nlf3Vl
40,Ministerio,,,,,,,,,,,1A0HhftIh_NLXFfwKhSZNhB5ITMGKAQ3F
41,Autoridad  de Supervisión del Sistema Financiero,,,,,,,,,,,1a82GMFjGR5dYnA9iZAcep9QOoGp2QLnp
42,UNIVERSIDAD DE LOS ANDES,,,,,,,,,,,1AbQVqQT9NCrqpdzn0uhv9t5BmlMX89NK
43,Rodrigo Chambi,,,,,,,,,,,1AeL4T5iICl1rMjcMkH-zxG4CFtcbxmpZ
44,Ministerio de Educación,,,,,,,,,,,1AmEfkJxieoKO7IgKydlwmXKCIH6TyPJ4
45,Instituto Nacional del Torax,,,,,,,,,,,1ANC6_W_QgttZLXPidKGBtGi1Cz-UgH0x
46,Luis Alberto,,,,,,,,,,,1Au7RBQ-JbNXU251Hx2_TIj9wMfVtoVQ8
47,SERVICIO DE IMPUESTOS NACIONALES,,,,,,,,,,,1B4Jex0YqibHSNrZDAgDZ_rLHSvnw0yKg
48,Caja de Salud de Caminos y RA,,,,,,,,,,,1bBAr55xjR5xR7Zo-V0FbJmdht7EdtdXz
49,CONECTATE SRL,,,,,,,,,,,1bC332SUr6q9NzF8osV-0xsNFwziTNER5
50,hg,66626262,alli villlll,,,,,,,,,1Be258AMtR2W1jGWMCwSUob9aQoOvq4Z2
51,Ejército de Bolivia,,,,,,,,,,,1bMKmjGdAyHZjab_HjYS0QjKuzCfcvhd6
52,Autoridad de Impugnación Tributaria,,,,,,,,,,,1BnVXIHg_4UkmZsMJcX5BNxswfNdCFug4
53,Muserpol,,,,,,,,,,,1bo6ljHEWZ5BhJL0UTLUrtIlK4mfpnCLL
54,CARRERA DE INGENIERÍA CIVIL - UMSA,,,,,,,,,,,1BOHJ6tn74SSoyXnXXMwconIfWZskIZqt
55,SEGIP,,,,,,,,,,,1BS1qpGJ6BMWJtZ_iqm9vDbhmSFjHYjzR
56,Organo Electoral Plurinacional,,,,,,,,,,,1bsyaFlzu-RzzLyD8NA0HAvERrigW2H1O
57,PROYECTOS ESPECIALES - UPRE,,,,,,,,,,,1bUQG5zOK-W93suCyiC3U9FGrJQN954w6
58,GAM HUMANATA,,,,,,,,,,,1bxC6fz8Jygwy-InwT8tMsstNDNW6BS8F
59,hfwwrhr,,,,,,,,,,,1BYeY0DOBwmKrNMxvPbx5H-wVqD3kmz7G
60,Empresa Pública Nacional Estratégica de Yacimientos de Litio Boliviano,,,,,,,,,,,1c0G3G6QvqHT0Zf2u3TsWjYDoo8NwNh_K
61,ARTES GRÁFICAS SAGITARIO SRL,,,,,,,,,,,1c4r1AiBPerWBw0_ueOMOqCgqQkmlA2uK
62,Prado,,,,,,,,,,,1Cbf0X090z0n1r3DVa2m62MJ4gtKOjODX
63,CIAAAT,,,,,,,,,,,1cJ_rGS4ONyqmvIPX1dSQFAl325U27DIk
64,Fundación Arcoiris,,,,,,,,,,,1CK_IJu8ivpWyXUoAta4C4u8sI9dKo-82
65,APS,,,,,,,,,,,1ClXz43NPkRIhA8MDHWLJHpzxJairbqkB
66,Juan Carlos Ugarte,,,,,,,,,,,1D21PXR64r_1_6i8TtYxlgK_f7JvhiTf_
67,Gabo.,,,,,,,,,,,1daszDVPYeESshAEIUVjrvzyKHaN0NK19
68,Vicepresidencia del Estado Plurinacional,,,,,,,,,,,1dh9JA43q_yN0fT85zt_CZabAVoywRWAu
69,Gerencia Distrital La Paz,,,,,,,,,,,1dlolBchaiiIrvEKogqtaYAbn-BhrlARs
70,Sánchez,,,,,,,,,,,1DSHOAtaduN6x3HM7o8Qm1MRp0LUVrVDR
71,Posgrado Medicina UMSA,,,,,,,,,,,1dthei-UnP1oS38HfVAb48W_bVYDkdAfo
72,DEFENSORÍA DEL PUEBLO,,,,,,,,,,,1DtJo6ojV14ow_dlu2CmZSucPBGc_MkmC
73,Vias Bolivia,,,,,,,,,,,1e5498V7P0H5uX-ZGZ57Ep36AvQV5jn6Q
74,Fiscalía Departamental de Oruro,,,,,,,,,,,1e9G8EWUfGb6PMSxkJ8Wgf84DMFxS5PsY
75,Ministerio de obras públicas servicios y vivienda,,,,,,,,,,,1EftiJKARr4Mgx1gRNDaHXKgcZMdsDoCB
76,Asociación municipal de Skateboarding,,,,,,,,,,,1EIPKUkAqGtJcgptJSnQVzm_5cLZDca_W
77,AIT,,,,,,,,,,,1emGzQKFs648E--Gm2YbV114EvcIiCJ2J
78,Hugo Ferrufino,76269000,,,,,,,,,,1EOHMH_IHhLvEJQ4PFQnov0M7paxYAs_m
79,EMAVIAS,,,,,,,,,,,1EppM1RCWuHUO8e-vGCLjimwymc9HfuOJ
80,GOBIERNO AUTÓNOMO MUNICIPAL DE MAPIRI,,,,,,,,,,,1ErbaT5I867kvBHpLdMGwKu1uFLmpGrxW
81,MASUFU CORPORACION SRL.,,,,,,,,,,,1eYQPaVqqKd--3Pwk6hcIICwpSst1u4qr
82,Aduana Nacional,,,,,,,,,,,1F3kxL-ouhHsThmyh2wek69VOBCxI6DuG
83,ASFI,,,,,,,,,,,1F3Njn5XbkavDmd1HZz_cu1Cm2cQj6QfK
